"","User_uid","project_phase","garden_type","garden_size","Local_tree_cover","fence_height","compost","pop_100","dist_water_100","imperv_100","noise_100","tree_cover_100","distance_border","inside","left","top","right","bottom","gridnumber","xcoord_centroid_25833","ycoord_centroid_25833","Squirrel_Week1","Squirrel_Week2","Squirrel_Week3","Squirrel_Week4"
"1",39,1,"Wohngrundstueck",625,20,100,"Geschlossen",39.9447402954102,1001.40991210938,63.9444770812988,60.5481071472168,34.3240547180176,282.32458904767,1,371646.96875,5823814.5,373646.96875,5821814.5,9,372646.96875,5822814.5,NA,NA,NA,NA
"2",382,2,"Wohngrundstueck",1000,5,120,"Offen",43.6494636535645,1107.41540527344,65.6039810180664,61.7252731323242,29.1307811737061,507.547173892802,1,371646.96875,5823814.5,373646.96875,5821814.5,9,372646.96875,5822814.5,1,1,1,1
"3",1180,3,"Wohngrundstueck",2400,10,120,"Offen",27.4686717987061,1466.14196777344,46.5150833129883,62.3461036682129,23.6504898071289,159.072294359414,1,371646.96875,5823814.5,373646.96875,5821814.5,9,372646.96875,5822814.5,NA,NA,NA,NA
"4",1685,4,"Wohngrundstueck",1500,10,120,"Offen",23.2560005187988,1336.41296386719,21.4828205108643,43.7706336975098,10.0576066970825,4.08970707826308,1,371646.96875,5823814.5,373646.96875,5821814.5,9,372646.96875,5822814.5,NA,NA,NA,NA
"5",1498,4,"Wohngrundstueck",800,20,100,"Geschlossen",31.5060367584229,1199.03466796875,44.2323684692383,51.226634979248,11.4823932647705,514.289163632074,1,371646.96875,5821814.5,373646.96875,5819814.5,10,372646.96875,5820814.5,NA,NA,NA,NA
"6",40,1,"Wohngrundstueck",550,10,0,"Offen",27.4479465484619,683.561767578125,24.2514343261719,59.6386184692383,20.1082420349121,1002.7043489779,1,371646.96875,5815814.5,373646.96875,5813814.5,12,372646.96875,5814814.5,NA,NA,NA,NA
"7",242,1,"Wohngrundstueck",1000,15,150,"Offen",34.9074554443359,504.731231689453,39.8236122131348,53.6141967773438,32.1387557983398,662.357510437327,1,371646.96875,5815814.5,373646.96875,5813814.5,12,372646.96875,5814814.5,NA,NA,NA,NA
"8",239,1,"Wohngrundstueck",530,20,100,"Keiner",24.7090244293213,353.851013183594,17.5903587341309,44.1832580566406,32.2318153381348,1248.58977387885,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,NA,NA,NA,NA
"9",240,1,"Wohngrundstueck",400,20,140,"Geschlossen",16.3112907409668,575.930908203125,18.8683662414551,45.0394325256348,64.3510513305664,1443.90941205135,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,NA,NA,NA,NA
"10",558,2,"Kleingarten",230,20,40,"Offen",0.315083205699921,207.771179199219,39.6920928955078,35.0273056030273,16.1311511993408,215.93273422549,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,NA,NA,NA,NA
"11",607,2,"Wohngrundstueck",1300,10,100,"Geschlossen",21.0138473510742,386.649322509766,23.2418060302734,36.6998062133789,0,453.676116832847,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,NA,NA,NA,NA
"12",1342,4,"Wohngrundstueck",768,50,100,"Offen",20.049840927124,680.577697753906,20.5975284576416,44.3885841369629,55.320743560791,1205.78262516053,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,NA,NA,NA,NA
"13",1891,5,"Wohngrundstueck",190,60,60,"Offen",42.3200531005859,345.542022705078,6.9458441734314,43.3544502258301,62.1834564208984,1110.14033739202,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,NA,NA,NA,NA
"14",1980,5,"Wohngrundstueck",350,5,110,"Geschlossen",29.4907627105713,582.80224609375,21.6487140655518,46.3688926696777,58.7651100158691,1119.68153465888,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,NA,NA,NA,NA
"15",1990,5,"Wohngrundstueck",600,20,80,"Offen",31.6850166320801,359.062927246094,23.3414974212646,56.149112701416,33.2013854980469,533.526957252336,1,371646.96875,5813814.5,373646.96875,5811814.5,13,372646.96875,5812814.5,0,1,0,1
"16",243,1,"Wohngrundstueck",812,40,120,"Offen",46.5290489196777,249.226089477539,43.2855491638184,59.4142913818359,42.2495079040527,396.177112713364,1,373646.96875,5825814.5,375646.96875,5823814.5,20,374646.96875,5824814.5,1,1,0,1
"17",391,2,"Kleingarten",260,1,80,"Offen",0.137169539928436,168.797485351562,23.21506690979,35.4615631103516,26.7362995147705,818.621822224279,1,373646.96875,5825814.5,375646.96875,5823814.5,20,374646.96875,5824814.5,NA,NA,NA,NA
